         16	      0.38
         16	     0.377
      16.08	     0.377
      16.08	     0.373
      16.22	     0.373
      16.22	     0.369
      16.31	     0.369
      16.31	     0.365
      16.41	     0.365
      16.41	     0.362
      16.52	     0.362
      16.52	     0.357
      16.92	     0.357
      16.92	     0.353
      17.18	     0.353
      17.18	     0.349
      17.23	     0.349
      17.23	     0.345
      17.29	     0.345
      17.29	     0.341
       17.4	     0.341
       17.4	     0.337
      17.45	     0.337
      17.45	     0.333
      17.69	     0.333
      17.69	      0.33
      17.91	      0.33
      17.91	     0.327
      17.98	     0.327
      17.98	     0.323
      18.26	     0.323
      18.26	      0.32
      18.32	      0.32
      18.32	     0.316
      18.55	     0.316
      18.55	     0.313
      18.61	     0.313
      18.61	       0.3
       18.7	       0.3
       18.7	     0.289
      18.88	     0.289
      18.88	     0.285
      19.47	     0.285
      19.47	     0.281
      19.56	     0.281
      19.56	     0.277
      20.04	     0.277
      20.04	     0.274
      20.52	     0.274
      20.52	     0.269
       20.7	     0.269
       20.7	     0.266
      21.07	     0.266
      21.07	     0.262
      21.27	     0.262
      21.27	     0.259
      21.64	     0.259
      21.64	     0.255
      21.97	     0.256
      21.97	     0.251
       22.5	     0.251
       22.5	     0.247
      22.92	     0.247
      22.92	     0.244
      23.05	     0.244
      23.05	     0.241
      23.27	     0.241
      23.27	     0.236
      23.75	     0.236
      23.75	     0.232
      24.15	     0.232
      24.15	     0.228
      24.54	     0.228
      24.54	     0.225
      25.03	     0.225
      25.03	     0.221
      25.25	     0.221
      25.25	     0.216
       25.6	     0.216
       25.6	     0.213
      25.95	     0.213
      25.95	     0.209
      27.07	     0.209
      27.07	     0.202
      27.12	     0.202
      27.12	     0.197
      27.56	     0.197
      27.56	     0.194
      30.52	     0.194
      30.52	      0.19
      31.42	      0.19
      31.42	     0.187
      31.71	     0.187
      31.71	     0.182
      32.59	     0.182
      32.59	     0.178
       36.7	     0.178
       36.7	     0.175
      36.94	     0.175
      36.94	     0.172
      38.21	     0.172
      38.21	     0.168
      47.44	     0.168
